,rd_2003,total_income_2003,rd_intensity_2003,a4,log_num_disputes,ownership1,ownership2,ownership3,ownership4,ownership5,ownership6,ownership7,ownership8,ownership9,simulated_rd_intensity,simulated_rd_intensity2
47,15.0,117929.0,0.00012719518,1,1.3862944,1,0,0,0,0,0,0,0,0,0.00012719518,0.00012719518
48,6081.0,1424357.0,0.0042692949,8,0.0,0,0,0,0,0,0,0,1,0,0.0042692949,0.0042692949
49,16105.0,538291.0,0.029918762,8,0.0,0,0,0,0,0,0,0,1,0,0.029918762,0.029918762
50,19552.0,205457.0,0.095163465,5,0.0,0,0,0,0,1,0,0,0,0,0.09045268263491955,0.04422736234349972
51,27581.0,134995.0,0.20431127,5,0.0,0,0,0,0,1,0,0,0,0,0.08658577885033705,0.07391683604468753
52,70.0,164257.0,0.00042616145,5,0.0,0,0,0,0,1,0,0,0,0,0.04629185979616865,0.03939810490208146
53,4815.0,68788.0,0.069997676,8,0.69314718,0,0,0,0,0,0,0,1,0,0.069997676,0.069997676
54,2650.0,297628.0,0.0089037325,8,1.0986123,0,0,0,0,0,0,0,1,0,0.0089037325,0.0089037325
55,14850.0,1099538.0,0.013505672,5,1.3862944,0,0,0,0,1,0,0,0,0,0.05816546271444862,0.3350606706577913
56,13220.0,152524.0,0.086674884,4,0.0,0,0,0,1,0,0,0,0,0,0.086674884,0.086674884
57,34629.0,686377.0,0.050451864,3,0.0,0,0,1,0,0,0,0,0,0,0.050451864,0.050451864
58,317.0,50749.0,0.0062464285,5,0.0,0,0,0,0,1,0,0,0,0,0.05630171115427012,0.056017537013813554
59,49.0,52583.0,0.00093186012,9,0.0,0,0,0,0,0,0,0,0,1,0.00093186012,0.00093186012
60,4413.0,59218.0,0.074521258,5,0.0,0,0,0,0,1,0,0,0,0,0.06961156210183732,0.07240709449287908
61,120637.0,1537659.0,0.078454979,8,0.0,0,0,0,0,0,0,0,1,0,0.078454979,0.078454979
62,887.0,813109.0,0.0010908747,8,0.0,0,0,0,0,0,0,0,1,0,0.0010908747,0.0010908747
63,4635.0,92650.0,0.050026983,4,0.0,0,0,0,1,0,0,0,0,0,0.050026983,0.050026983
64,18000.0,492757.0,0.036529161,4,3.713572,0,0,0,1,0,0,0,0,0,0.036529161,0.036529161
65,1.0,78679.0,1.2709872e-05,7,0.0,0,0,0,0,0,0,1,0,0,1.2709872e-05,1.2709872e-05
66,5000.0,148820.0,0.033597633,1,0.0,1,0,0,0,0,0,0,0,0,0.033597633,0.033597633
67,2683.0,90904.0,0.029514654,4,0.0,0,0,0,1,0,0,0,0,0,0.029514654,0.029514654
68,52661.0,2112277.0,0.024930915,7,0.0,0,0,0,0,0,0,1,0,0,0.024930915,0.024930915
69,5300.0,102870.0,0.051521339,1,0.0,1,0,0,0,0,0,0,0,0,0.051521339,0.051521339
70,184.0,134161.0,0.0013714865,1,0.0,1,0,0,0,0,0,0,0,0,0.0013714865,0.0013714865
71,8965.0,311446.0,0.028785087,5,0.0,0,0,0,0,1,0,0,0,0,0.042543919729568544,0.05681843536190205
72,420.0,1047627.0,0.00040090605,5,0.0,0,0,0,0,1,0,0,0,0,0.042003450205855435,0.0468132623251018
73,486.0,105743.0,0.004596049,1,0.0,1,0,0,0,0,0,0,0,0,0.004596049,0.004596049
74,5554.0,628231.0,0.0088406969,1,0.0,1,0,0,0,0,0,0,0,0,0.0088406969,0.0088406969
75,21350.0,271107.0,0.078751191,5,3.583519,0,0,0,0,1,0,0,0,0,0.08598551679239509,0.7422071357819919
76,4000.0,83699.0,0.047790296,4,0.0,0,0,0,1,0,0,0,0,0,0.047790296,0.047790296
77,190.0,64633.0,0.0029396748,7,0.0,0,0,0,0,0,0,1,0,0,0.0029396748,0.0029396748
78,6500.0,87901.0,0.073946826,1,2.3978953,1,0,0,0,0,0,0,0,0,0.073946826,0.073946826
79,5110.0,93009.0,0.05494092,8,0.0,0,0,0,0,0,0,0,1,0,0.05494092,0.05494092
80,8799.0,308748.0,0.02849897,8,0.0,0,0,0,0,0,0,0,1,0,0.02849897,0.02849897
81,3186.0,422329.0,0.0075438819,4,0.0,0,0,0,1,0,0,0,0,0,0.0075438819,0.0075438819
82,1240.0,726022.0,0.0017079372,1,0.0,1,0,0,0,0,0,0,0,0,0.0017079372,0.0017079372
83,320.0,99692.0,0.0032098864,4,3.8501475,0,0,0,1,0,0,0,0,0,0.0032098864,0.0032098864
84,8763.0,160717.0,0.054524414,5,0.0,0,0,0,0,1,0,0,0,0,0.04866979164981723,0.0625669906332025
85,55187.0,2207083.0,0.025004497,5,0.0,0,0,0,0,1,0,0,0,0,0.05789967269139943,0.05072779742692822
86,216.0,85001.0,0.0025411465,4,0.0,0,0,0,1,0,0,0,0,0,0.0025411465,0.0025411465
87,6414.0,3161448.0,0.0020288171,8,1.0986123,0,0,0,0,0,0,0,1,0,0.0020288171,0.0020288171
88,86830.0,561633.0,0.15460274,8,0.69314718,0,0,0,0,0,0,0,1,0,0.15460274,0.15460274
89,7700.0,281707.0,0.027333364,1,0.0,1,0,0,0,0,0,0,0,0,0.027333364,0.027333364
90,600.0,124103.0,0.0048346939,9,0.0,0,0,0,0,0,0,0,0,1,0.0048346939,0.0048346939
91,4105.0,719402.0,0.0057061282,1,0.0,1,0,0,0,0,0,0,0,0,0.0057061282,0.0057061282
92,500.0,125866.0,0.0039724787,4,0.0,0,0,0,1,0,0,0,0,0,0.0039724787,0.0039724787
93,108776.0,15126192.0,0.0071912347,5,0.0,0,0,0,0,1,0,0,0,0,0.06614698694775417,0.04950214567263041
94,2326.0,34502.0,0.067416385,5,0.0,0,0,0,0,1,0,0,0,0,0.06882642563394073,0.03061754539087415
95,3484.0,1074936.0,0.0032411232,7,0.69314718,0,0,0,0,0,0,1,0,0,0.0032411232,0.0032411232
